Zaadi Kitchen — 1. Mobile App — Feature Sign-Off,,,,,,,
Client Sign-Off Key:  ✓ Agreed     ✗ Disputed     ? Needs Clarification     — Not reviewed,,,,,,,
#,Feature / Module,Description,Acceptance Criteria,Priority,Est. Hours,Client Sign-Off,Notes / Amendments
31,Resume subscription screen,Confirm resume with optional new start date.,"• Resume confirmation shown before applying
• Optional new start date selectable
• Subscription transitions to ACTIVE on confirmation",High,4h,—,
  F — DRIVER MODE,,,,,,,
32,Driver login gate,Hidden driver entry — role determined from OTP response.,"• Driver role flag from API routes to driver home
• No separate driver app — same build
• Customer cannot access driver screens",Critical,4h,—,
33,Delivery list screen,Sorted delivery list by building and floor.,"• Deliveries grouped by building then floor
• Per-order status toggle visible
• List refreshes on pull-to-refresh",Critical,8h,—,
34,Delivery detail & confirm,Mark individual deliveries as delivered.,"• Mark-delivered action updates status immediately
• Quick-call shortcut dials customer number
• Issue reporting accessible from detail screen",Critical,8h,—,
35,QR scan verification,Camera QR scan to confirm delivery.,"• Camera opens on tap
• Valid QR confirms delivery
• Invalid QR shows error
• Confirmation feedback shown to driver",High,8h,—,
  G — CROSS-CUTTING CONCERNS,,,,,,,
36,EN / AR full localisation,"All strings translated, RTL layout throughout.","• Every visible string has an Arabic translation
• RTL layout applied correctly in Arabic mode
• Arabic date and number formats used
• Language switch works from profile screen",Critical,16h,—,
37,Push notifications (FCM),"Delivery reminders, skip-window alerts, renewal nudges via FCM.","• Delivery reminder sent day-before or morning-of delivery
• Skip-window alert sent before 6 PM cutoff
• Renewal nudge sent ≤ 5 days before expiry
• Tapping notification deep-links to correct screen
• User can disable notifications from profile",Critical,8h,—,
38,Wallet / credit balance,"In-app credit display, referral earnings, usage history.","• Balance displayed correctly on checkout and profile
• Referral credits applied correctly
• Usage history shows credit/debit transactions",Medium,6h,—,Need to get clarity of what is logic for referal earinings
